duration,num_voted_users,num_critic_for_reviews,movie_facebook_likes,imdb_score,budget,gross,title_year,director_name,movie_title
136.0,370704.0,448.0,58000.0,6.7,,241063875.0,2011.0,Rob Marshall,Pirates of the Caribbean: On Stranger Tides 
,268154.0,451.0,40000.0,6.8,225000000.0,179020854.0,2012.0,Barry Sonnenfeld,Men in Black 3 
164.0,354228.0,422.0,65000.0,7.5,250000000.0,255108370.0,2014.0,Peter Jackson,The Hobbit: The Battle of the Five Armies 
153.0,451803.0,599.0,56000.0,7.0,230000000.0,262030663.0,2012.0,Marc Webb,The Amazing Spider-Man 
156.0,211765.0,343.0,17000.0,6.7,200000000.0,105219735.0,2010.0,Ridley Scott,Robin Hood 
186.0,,509.0,83000.0,7.9,225000000.0,258355354.0,,Peter Jackson,The Hobbit: The Desolation of Smaug 
113.0,149019.0,251.0,0.0,6.1,180000000.0,70083519.0,2007.0,Chris Weitz,The Golden Compass 
201.0,316018.0,446.0,0.0,7.2,207000000.0,218051260.0,2005.0,Peter Jackson,King Kong 
194.0,793059.0,315.0,26000.0,7.7,200000000.0,658672302.0,,James Cameron,Titanic 
147.0,272670.0,516.0,72000.0,8.2,250000000.0,407197282.0,2016.0,Anthony Russo,Captain America: Civil War 
,,377.0,44000.0,5.9,209000000.0,65173160.0,,Peter Berg,Battleship 
124.0,418214.0,644.0,150000.0,7.0,150000000.0,652177271.0,2015.0,Colin Trevorrow,Jurassic World 
143.0,522030.0,750.0,80000.0,7.8,200000000.0,304360277.0,2012.0,Sam Mendes,Skyfall 
135.0,411164.0,300.0,0.0,7.3,200000000.0,373377893.0,2004.0,,
195.0,557489.0,608.0,95000.0,7.2,200000000.0,,2013.0,,Iron Man 3 
108.0,306320.0,451.0,24000.0,6.5,200000000.0,334185206.0,2010.0,Tim Burton,Alice in Wonderland 
104.0,383427.0,334.0,0.0,6.8,210000000.0,,,Brett Ratner,X-Men: The Last Stand 
,235025.0,,44000.0,7.3,,268488329.0,2013.0,Dan Scanlon,Monsters University 
,323207.0,366.0,0.0,6.0,200000000.0,,2009.0,,Transformers: Revenge of the Fallen 
165.0,242420.0,,56000.0,5.7,210000000.0,245428137.0,2014.0,Michael Bay,Transformers: Age of Extinction 
130.0,175409.0,525.0,60000.0,6.4,215000000.0,234903076.0,2013.0,Sam Raimi,Oz the Great and Powerful 
142.0,,495.0,41000.0,6.7,200000000.0,202853933.0,,Marc Webb,The Amazing Spider-Man 2 
125.0,264183.0,469.0,30000.0,6.8,170000000.0,172051787.0,2010.0,Joseph Kosinski,TRON: Legacy 
106.0,101178.0,304.0,10000.0,,200000000.0,191450875.0,2011.0,John Lasseter,Cars 2 
,223393.0,436.0,24000.0,5.6,200000000.0,116593191.0,2011.0,Martin Campbell,Green Lantern 
103.0,544884.0,,30000.0,8.3,200000000.0,414984497.0,2010.0,Lee Unkrich,Toy Story 3 
118.0,286095.0,,0.0,6.6,,125320003.0,2009.0,McG,Terminator Salvation 
140.0,278232.0,424.0,94000.0,7.2,190000000.0,350034110.0,2015.0,James Wan,Furious 7 
123.0,465019.0,654.0,129000.0,7.0,190000000.0,202351611.0,2013.0,Marc Forster,
149.0,514125.0,539.0,82000.0,8.0,200000000.0,233914986.0,2014.0,Bryan Singer,X-Men: Days of Future Past 
132.0,395573.0,590.0,92000.0,7.8,190000000.0,228756232.0,,J.J. Abrams,Star Trek Into Darkness 
114.0,106416.0,338.0,22000.0,6.3,195000000.0,65171860.0,2013.0,Bryan Singer,Jack the Giant Slayer 
143.0,362912.0,490.0,,7.3,105000000.0,144812796.0,2013.0,Baz Luhrmann,The Great Gatsby 
116.0,222403.0,306.0,23000.0,6.6,200000000.0,90755643.0,2010.0,Mike Newell,
,381148.0,575.0,83000.0,7.0,190000000.0,101785482.0,2013.0,Guillermo del Toro,Pacific Rim 
154.0,326180.0,428.0,46000.0,6.3,195000000.0,352358779.0,2011.0,Michael Bay,Transformers: Dark of the Moon 
122.0,333847.0,470.0,5000.0,6.2,185000000.0,317011114.0,2008.0,Steven Spielberg,Indiana Jones and the Kingdom of the Crystal Skull 
93.0,62836.0,298.0,20000.0,6.8,,123070338.0,2015.0,Peter Sohn,The Good Dinosaur 
93.0,273556.0,488.0,39000.0,7.2,185000000.0,237282182.0,2012.0,Mark Andrews,
122.0,53607.0,322.0,30000.0,7.5,185000000.0,130468626.0,2016.0,Justin Lin,Star Trek Beyond 
98.0,718837.0,421.0,,8.4,,223806889.0,,Andrew Stanton,
91.0,121084.0,162.0,0.0,6.2,140000000.0,140080850.0,2007.0,Brett Ratner,Rush Hour 3 
158.0,,367.0,13000.0,5.8,200000000.0,166112167.0,2009.0,Roland Emmerich,2012 
96.0,72809.0,240.0,0.0,6.8,200000000.0,,2009.0,,A Christmas Carol 
127.0,139593.0,384.0,44000.0,5.4,176000000.0,47375327.0,2015.0,Lana Wachowski,
110.0,,248.0,29000.0,6.6,180000000.0,124051759.0,2016.0,David Yates,The Legend of Tarzan 
150.0,286506.0,284.0,0.0,6.9,180000000.0,291709845.0,2005.0,Andrew Adamson,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
144.0,148379.0,396.0,54000.0,7.3,178000000.0,154985087.0,2016.0,Bryan Singer,
152.0,1676169.0,645.0,37000.0,9.0,185000000.0,533316061.0,2008.0,Christopher Nolan,The Dark Knight 
96.0,665575.0,408.0,27000.0,8.3,175000000.0,292979556.0,2009.0,Pete Docter,
,,219.0,0.0,6.5,175000000.0,198332128.0,2009.0,Rob Letterman,Monsters vs. Aliens 
126.0,,486.0,10000.0,7.9,140000000.0,318298180.0,2008.0,Jon Favreau,Iron Man 
126.0,245333.0,682.0,42000.0,7.5,170000000.0,73820094.0,2011.0,,Hugo 
,129601.0,85.0,0.0,4.8,170000000.0,113745408.0,1999.0,Barry Sonnenfeld,Wild Wild West 
112.0,117927.0,264.0,,5.2,145000000.0,102176165.0,2008.0,Rob Cohen,The Mummy: Tomb of the Dragon Emperor 
123.0,118992.0,418.0,80000.0,6.9,175000000.0,161087183.0,2016.0,David Ayer,Suicide Squad 
,115099.0,186.0,2000.0,5.4,175000000.0,100289690.0,2007.0,,Evan Almighty 
113.0,431620.0,585.0,77000.0,7.9,178000000.0,100189501.0,2014.0,Doug Liman,Edge of Tomorrow 
176.0,144337.0,91.0,0.0,6.1,175000000.0,88246220.0,1995.0,,Waterworld 
118.0,174578.0,250.0,0.0,5.8,175000000.0,150167630.0,2009.0,Stephen Sommers,
95.0,345198.0,536.0,118000.0,8.3,175000000.0,356454367.0,2015.0,Pete Docter,Inside Out 
106.0,106072.0,370.0,65000.0,7.8,175000000.0,362645141.0,2016.0,Jon Favreau,The Jungle Book 
124.0,522371.0,453.0,18000.0,7.0,200000000.0,312057433.0,2010.0,,Iron Man 2 
132.0,228554.0,416.0,53000.0,6.1,170000000.0,155111815.0,2012.0,Rupert Sanders,Snow White and the Huntsman 
,252257.0,401.0,89000.0,7.0,180000000.0,241407328.0,2014.0,Robert Stromberg,
130.0,317542.0,521.0,45000.0,,170000000.0,208543795.0,2014.0,Matt Reeves,Dawn of the Planet of the Apes 
109.0,2138.0,10.0,,4.5,,,2015.0,Roland Joffé,The Lovers 
128.0,116994.0,218.0,35000.0,6.3,,,2013.0,Carl Rinsch,
136.0,496749.0,576.0,55000.0,7.8,170000000.0,259746958.0,2014.0,Anthony Russo,Captain America: The Winter Soldier 
93.0,138661.0,226.0,0.0,6.4,165000000.0,238371987.0,2010.0,Mike Mitchell,Shrek Forever After 
130.0,128306.0,443.0,37000.0,6.5,190000000.0,93417865.0,2015.0,Brad Bird,Tomorrowland 
102.0,279093.0,384.0,41000.0,7.9,165000000.0,222487711.0,2014.0,Don Hall,
101.0,272534.0,377.0,40000.0,7.8,165000000.0,189412677.0,2012.0,Rich Moore,Wreck-It Ralph 
100.0,120798.0,,10000.0,6.6,165000000.0,,2004.0,Robert Zemeckis,The Polar Express 
,58137.0,286.0,,5.5,165000000.0,102315545.0,2016.0,,Independence Day: Resurgence 
98.0,,288.0,33000.0,8.2,165000000.0,217387997.0,2010.0,Dean DeBlois,
109.0,305340.0,280.0,0.0,6.4,200000000.0,150350192.0,2003.0,Jonathan Mostow,Terminator 3: Rise of the Machines 
,682155.0,653.0,96000.0,8.1,170000000.0,333130696.0,,James Gunn,Guardians of the Galaxy 
,928227.0,712.0,349000.0,8.6,165000000.0,187991439.0,2014.0,Christopher Nolan,Interstellar 
148.0,1468200.0,642.0,175000.0,8.8,160000000.0,292568851.0,,Christopher Nolan,Inception 
120.0,374.0,1.0,,8.2,,,2016.0,Hideaki Anno,Godzilla Resurgence 
182.0,637246.0,645.0,166000.0,7.9,180000000.0,303001229.0,2012.0,Peter Jackson,The Hobbit: An Unexpected Journey 
106.0,,187.0,,,38000000.0,144512310.0,2001.0,Rob Cohen,The Fast and the Furious 
166.0,459346.0,362.0,23000.0,7.8,150000000.0,127490802.0,2008.0,David Fincher,
132.0,518537.0,500.0,54000.0,7.8,160000000.0,146405371.0,2011.0,Matthew Vaughn,X-Men: First Class 
137.0,166137.0,389.0,38000.0,6.6,160000000.0,281666058.0,2015.0,Francis Lawrence,The Hunger Games: Mockingjay - Part 2 
109.0,124185.0,235.0,11000.0,6.1,150000000.0,63143812.0,2010.0,Jon Turteltaub,The Sorcerer's Apprentice 
,82380.0,231.0,0.0,5.6,160000000.0,60655503.0,2006.0,,Poseidon 
113.0,21352.0,218.0,,6.4,170000000.0,,2016.0,James Bobin,Alice Through the Looking Glass 
93.0,211971.0,227.0,0.0,6.1,160000000.0,320706665.0,2007.0,Chris Miller,Shrek the Third 
123.0,111609.0,275.0,,7.3,160000000.0,46978995.0,2016.0,,Warcraft 
,188457.0,474.0,82000.0,6.6,155000000.0,89732035.0,2015.0,Alan Taylor,Terminator Genisys 
113.0,106446.0,228.0,11000.0,6.3,155000000.0,104383624.0,2010.0,Michael Apted,The Chronicles of Narnia: The Voyage of the Dawn Treader 
184.0,254111.0,191.0,0.0,6.1,140000000.0,198539855.0,2001.0,Michael Bay,Pearl Harbor 
144.0,513158.0,396.0,8000.0,7.1,150000000.0,318759914.0,,Michael Bay,Transformers 
206.0,138863.0,248.0,0.0,5.5,155000000.0,34293771.0,2004.0,Oliver Stone,Alexander 
138.0,,329.0,,7.5,150000000.0,,2007.0,David Yates,Harry Potter and the Order of the Phoenix 
157.0,385670.0,295.0,0.0,7.6,150000000.0,289994397.0,2005.0,Mike Newell,Harry Potter and the Goblet of Fire 
102.0,343648.0,318.0,0.0,6.4,150000000.0,227946274.0,2008.0,Peter Berg,Hancock 
104.0,,323.0,11000.0,,150000000.0,256386216.0,2007.0,Francis Lawrence,I Am Legend 
115.0,320284.0,,0.0,6.7,150000000.0,206456431.0,,Tim Burton,Charlie and the Chocolate Factory 
111.0,473887.0,318.0,10000.0,8.0,150000000.0,206435493.0,2007.0,,Ratatouille 
128.0,,478.0,15000.0,8.3,150000000.0,205343774.0,2005.0,Christopher Nolan,Batman Begins 
89.0,146019.0,167.0,0.0,,150000000.0,,,Eric Darnell,
105.0,,185.0,2000.0,5.9,150000000.0,177243721.0,2009.0,Shawn Levy,Night at the Museum: Battle of the Smithsonian 
,361924.0,,0.0,6.7,150000000.0,,2009.0,Gavin Hood,X-Men Origins: Wolverine 
129.0,364948.0,245.0,0.0,6.7,150000000.0,139259759.0,2003.0,Lana Wachowski,
102.0,421658.0,406.0,58000.0,7.6,150000000.0,400736600.0,2013.0,Chris Buck,
138.0,421818.0,275.0,0.0,,150000000.0,281492479.0,2003.0,Lana Wachowski,The Matrix Reloaded 
112.0,414070.0,486.0,63000.0,7.1,170000000.0,206360018.0,2013.0,Alan Taylor,Thor: The Dark World 
,552503.0,739.0,191000.0,8.1,150000000.0,153629485.0,2015.0,George Miller,Mad Max: Fury Road 
146.0,207839.0,298.0,0.0,6.7,,133375846.0,2009.0,Ron Howard,Angels & Demons 
,536314.0,516.0,63000.0,7.0,,181015141.0,2011.0,Kenneth Branagh,Thor 
96.0,146766.0,225.0,0.0,6.9,150000000.0,,2008.0,Byron Howard,
88.0,33042.0,145.0,,5.1,150000000.0,119420252.0,2009.0,Hoyt Yeatman,G-Force 
99.0,152826.0,310.0,19000.0,,150000000.0,83640426.0,2012.0,Jonathan Liebesman,
113.0,199039.0,526.0,,6.2,100000000.0,79711678.0,2012.0,Tim Burton,Dark Shadows 
131.0,232187.0,465.0,47000.0,7.4,150000000.0,195000874.0,2015.0,,Mission: Impossible - Rogue Nation 
119.0,89442.0,357.0,0.0,5.8,150000000.0,61937495.0,2010.0,Joe Johnston,The Wolfman 
110.0,42372.0,248.0,29000.0,6.6,180000000.0,124051759.0,2016.0,David Yates,The Legend of Tarzan 
91.0,105902.0,194.0,,6.2,150000000.0,126597121.0,2007.0,Steve Hickner,Bee Movie 
90.0,182718.0,284.0,,7.3,,,2011.0,Jennifer Yuh Nelson,
103.0,118951.0,280.0,18000.0,4.2,150000000.0,131564731.0,2010.0,M. Night Shyamalan,The Last Airbender 
124.0,256695.0,310.0,0.0,6.9,150000000.0,133382309.0,2006.0,J.J. Abrams,Mission: Impossible III 
131.0,164238.0,339.0,33000.0,6.4,150000000.0,,2013.0,,White House Down 
88.0,17590.0,132.0,0.0,,150000000.0,21379315.0,2011.0,Simon Wells,Mars Needs Moms 
85.0,85086.0,135.0,0.0,6.7,149000000.0,64459316.0,2006.0,,Flushed Away 
111.0,39956.0,256.0,24000.0,,150000000.0,34964818.0,2015.0,,
92.0,47900.0,196.0,11000.0,6.9,145000000.0,111505642.0,2014.0,Rob Minkoff,Mr. Peabody & Sherman 
196.0,381672.0,220.0,0.0,7.2,175000000.0,133228348.0,2004.0,Wolfgang Petersen,Troy 
,119213.0,211.0,17000.0,6.9,145000000.0,216366733.0,2012.0,Eric Darnell,Madagascar 3: Europe's Most Wanted 
133.0,169914.0,264.0,0.0,6.1,142000000.0,160201106.0,2002.0,Lee Tamahori,Die Another Day 
116.0,69757.0,464.0,62000.0,5.5,144000000.0,,2016.0,Paul Feig,Ghostbusters 
153.0,322395.0,167.0,11000.0,6.6,140000000.0,201573391.0,1998.0,Michael Bay,Armageddon 
,270207.0,208.0,2000.0,6.1,140000000.0,190418803.0,,Barry Sonnenfeld,Men in Black II 
115.0,142440.0,287.0,3000.0,6.3,150000000.0,82161969.0,2007.0,Robert Zemeckis,Beowulf 
95.0,,210.0,24000.0,7.2,145000000.0,143523463.0,2016.0,Alessandro Carloni,Kung Fu Panda 3 
133.0,365104.0,432.0,35000.0,7.4,145000000.0,209364921.0,2011.0,Brad Bird,Mission: Impossible - Ghost Protocol 
97.0,123553.0,256.0,25000.0,,145000000.0,103400692.0,2012.0,Peter Ramsey,Rise of the Guardians 
90.0,110788.0,135.0,2000.0,6.1,,110332737.0,,Dean Parisot,Fun with Dick and Jane 
154.0,317166.0,190.0,0.0,7.7,140000000.0,,2003.0,Edward Zwick,The Last Samurai 
150.0,,314.0,51000.0,6.1,140000000.0,,2014.0,Ridley Scott,Exodus: Gods and Kings 
127.0,504419.0,518.0,19000.0,8.0,150000000.0,257704099.0,2009.0,J.J. Abrams,Star Trek 
121.0,544665.0,291.0,5000.0,7.3,139000000.0,403706375.0,2002.0,Sam Raimi,Spider-Man 
102.0,221128.0,292.0,46000.0,7.9,,176997107.0,2014.0,Dean DeBlois,How to Train Your Dragon 2 
126.0,51892.0,184.0,24000.0,5.5,140000000.0,31141074.0,2016.0,Alex Proyas,Gods of Egypt 
121.0,45455.0,145.0,0.0,5.0,135000000.0,31704416.0,2005.0,Rob Cohen,Stealth 
215.0,392474.0,451.0,18000.0,7.7,130000000.0,107503316.0,2009.0,Zack Snyder,Watchmen 
127.0,127497.0,141.0,0.0,6.6,140000000.0,129734803.0,1998.0,Richard Donner,Lethal Weapon 4 
138.0,212106.0,267.0,,5.7,137000000.0,132122995.0,2003.0,Ang Lee,Hulk 
122.0,,351.0,42000.0,5.8,130000000.0,122512052.0,2013.0,Jon M. Chu,G.I. Joe: Retaliation 
124.0,77673.0,163.0,0.0,6.0,130000000.0,68642452.0,2005.0,,Sahara 
106.0,72259.0,166.0,0.0,6.4,137000000.0,32131830.0,2001.0,Hironobu Sakaguchi,Final Fantasy: The Spirits Within 
124.0,508818.0,510.0,,6.9,140000000.0,176636816.0,2011.0,Joe Johnston,Captain America: The First Avenger 
128.0,157519.0,197.0,2000.0,6.4,135000000.0,126930660.0,1999.0,Michael Apted,The World Is Not Enough 
138.0,168207.0,244.0,0.0,7.4,150000000.0,93926386.0,2003.0,Peter Weir,
115.0,185394.0,322.0,65000.0,5.5,120000000.0,292298923.0,2012.0,Bill Condon,
100.0,32399.0,156.0,0.0,,135000000.0,63992328.0,2011.0,George Miller,Happy Feet 2 
135.0,326286.0,354.0,0.0,6.8,150000000.0,134518390.0,2008.0,Louis Leterrier,The Incredible Hulk 
60.0,,21.0,0.0,,1500000.0,,,,Miami Vice             
117.0,12572.0,252.0,27000.0,6.8,140000000.0,52792307.0,2016.0,Steven Spielberg,
156.0,406020.0,556.0,190000.0,,135000000.0,183635922.0,2015.0,Alejandro G. Iñárritu,The Revenant 
96.0,62424.0,166.0,,6.5,135000000.0,83024900.0,2013.0,David Soren,Turbo 
107.0,183208.0,362.0,26000.0,7.2,135000000.0,123207194.0,,Gore Verbinski,Rango 
92.0,60230.0,153.0,11000.0,6.7,132000000.0,83348920.0,2014.0,,Penguins of Madagascar 
115.0,491077.0,329.0,0.0,8.1,110000000.0,227137090.0,2007.0,,The Bourne Ultimatum 
92.0,307029.0,266.0,6000.0,7.6,130000000.0,215395021.0,2008.0,Mark Osborne,Kung Fu Panda 
,313866.0,517.0,61000.0,7.4,,180191634.0,2015.0,Peyton Reed,Ant-Man 
146.0,498397.0,502.0,82000.0,7.6,130000000.0,,2013.0,Francis Lawrence,The Hunger Games: Catching Fire 
,185394.0,322.0,65000.0,5.5,120000000.0,292298923.0,2012.0,Bill Condon,The Twilight Saga: Breaking Dawn - Part 2 
94.0,70121.0,165.0,26000.0,6.7,135000000.0,177343675.0,2015.0,Tim Johnson,Home 
116.0,334345.0,401.0,0.0,6.5,132000000.0,,2005.0,Steven Spielberg,War of the Worlds 
147.0,178126.0,94.0,0.0,6.6,130000000.0,138396624.0,,Michael Bay,Bad Boys II 
90.0,114287.0,246.0,16000.0,6.7,130000000.0,149234747.0,2011.0,Chris Miller,
101.0,245621.0,330.0,23000.0,6.4,110000000.0,,2010.0,Phillip Noyce,Salt 
,200022.0,434.0,71000.0,,,101160529.0,2014.0,Darren Aronofsky,Noah 
107.0,177383.0,440.0,44000.0,7.4,135000000.0,77564037.0,2011.0,Steven Spielberg,The Adventures of Tintin 
142.0,382255.0,274.0,11000.0,7.8,130000000.0,249358727.0,2004.0,Alfonso Cuarón,Harry Potter and the Prisoner of Azkaban 
165.0,102338.0,245.0,0.0,6.6,130000000.0,49551662.0,2008.0,Baz Luhrmann,Australia 
100.0,,349.0,37000.0,4.9,130000000.0,60522097.0,2013.0,M. Night Shyamalan,After Earth 
82.0,38438.0,145.0,0.0,6.5,127500000.0,137748063.0,2000.0,Eric Leighton,Dinosaur 
,381.0,1.0,40.0,7.5,,,2011.0,Matt Birch,
98.0,,154.0,11000.0,6.2,,113733726.0,2014.0,Shawn Levy,Night at the Museum: Secret of the Tomb 
95.0,172754.0,233.0,13000.0,7.3,130000000.0,,2010.0,Tom McGrath,Megamind 
159.0,444683.0,258.0,16000.0,7.5,125000000.0,317557891.0,2001.0,,Harry Potter and the Sorcerer's Stone 
96.0,91640.0,208.0,20000.0,5.6,130000000.0,33592415.0,2013.0,Robert Schwentke,R.I.P.D. 
120.0,374.0,1.0,0.0,8.2,,,2016.0,Hideaki Anno,Godzilla Resurgence 
143.0,809474.0,271.0,,,,305388685.0,2003.0,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl 
,252.0,4.0,25.0,,,,2010.0,Matt Birch,Harry Potter and the Deathly Hallows: Part I 
123.0,305008.0,403.0,52000.0,6.7,125000000.0,337103873.0,2014.0,Francis Lawrence,The Hunger Games: Mockingjay - Part 1 
174.0,,294.0,0.0,6.6,,217536138.0,2006.0,Ron Howard,The Da Vinci Code 
101.0,,159.0,0.0,6.4,103000000.0,,2014.0,Carlos Saldanha,Rio 2 
134.0,405973.0,289.0,0.0,7.5,110000000.0,214948780.0,2003.0,,X-Men 2 
132.0,284792.0,342.0,54000.0,7.3,125000000.0,209805005.0,2011.0,Justin Lin,Fast Five 
129.0,338635.0,382.0,39000.0,7.5,,186830669.0,2011.0,Guy Ritchie,Sherlock Holmes: A Game of Shadows 
106.0,229679.0,,15000.0,5.8,125000000.0,163192114.0,2010.0,Louis Leterrier,Clash of the Titans 
113.0,240241.0,196.0,0.0,7.5,65000000.0,119412921.0,1990.0,Paul Verhoeven,Total Recall 
102.0,101411.0,85.0,0.0,6.6,85000000.0,,1999.0,John McTiernan,The 13th Warrior 
,,436.0,31000.0,6.7,125000000.0,113165635.0,2012.0,Tony Gilroy,The Bourne Legacy 
125.0,189855.0,183.0,0.0,3.7,125000000.0,,1997.0,Joel Schumacher,Batman & Robin 
110.0,141414.0,175.0,0.0,6.0,123000000.0,260031035.0,2000.0,Ron Howard,How the Grinch Stole Christmas 
124.0,333248.0,239.0,19000.0,6.4,,186739919.0,2004.0,Roland Emmerich,The Day After Tomorrow 
123.0,242188.0,237.0,0.0,,125000000.0,215397307.0,2000.0,John Woo,Mission: Impossible II 
130.0,133076.0,231.0,0.0,6.4,140000000.0,182618434.0,,Wolfgang Petersen,The Perfect Storm 
92.0,213275.0,262.0,0.0,5.6,130000000.0,131920333.0,2007.0,Tim Story,Fantastic 4: Rise of the Silver Surfer 
127.0,440084.0,552.0,122000.0,8.0,120000000.0,124976634.0,,Ang Lee,Life of Pi 
123.0,182661.0,,0.0,5.2,110000000.0,115802596.0,2007.0,Mark Steven Johnson,Ghost Rider 
,,267.0,31000.0,7.1,120000000.0,108521835.0,2016.0,Paul Greengrass,Jason Bourne 
107.0,100821.0,102.0,0.0,4.8,120000000.0,100685880.0,2003.0,McG,Charlie's Angels: Full Throttle 
124.0,456260.0,775.0,97000.0,7.0,,126464904.0,2012.0,,Prometheus 
77.0,36471.0,71.0,459.0,5.4,120000000.0,64736114.0,2002.0,Rob Minkoff,Stuart Little 2 
109.0,338087.0,476.0,61000.0,6.6,115000000.0,93050117.0,2013.0,Neill Blomkamp,Elysium 
134.0,183909.0,207.0,0.0,6.7,,57637485.0,2004.0,David Twohy,The Chronicles of Riddick 
117.0,182899.0,492.0,60000.0,6.2,100000000.0,,2014.0,José Padilha,RoboCop 
,57873.0,284.0,0.0,6.1,120000000.0,43929341.0,2008.0,Lana Wachowski,Speed Racer 
121.0,35066.0,168.0,0.0,5.3,120000000.0,30212620.0,2010.0,James L. Brooks,How Do You Know 
117.0,148280.0,,11000.0,6.3,117000000.0,,2010.0,James Mangold,Knight and Day 
124.0,387436.0,539.0,71000.0,7.0,120000000.0,89021735.0,2013.0,Joseph Kosinski,Oblivion 
140.0,520104.0,359.0,10000.0,7.6,113000000.0,380262555.0,,George Lucas,
142.0,464310.0,284.0,0.0,6.7,115000000.0,310675583.0,2002.0,George Lucas,Star Wars: Episode II - Attack of the Clones 
92.0,585659.0,250.0,0.0,8.1,115000000.0,,,Pete Docter,"Monsters, Inc. "
138.0,328067.0,440.0,68000.0,6.7,120000000.0,132550960.0,2013.0,James Mangold,The Wolverine 
136.0,,320.0,13000.0,6.5,115000000.0,474544677.0,1999.0,George Lucas,Star Wars: Episode I - The Phantom Menace 
98.0,150618.0,257.0,28000.0,7.3,135000000.0,187165546.0,2013.0,,The Croods 
116.0,,33.0,291.0,5.1,78000000.0,,2008.0,Frédéric Forestier,Asterix at the Olympic Games 
153.0,55994.0,152.0,0.0,6.0,115000000.0,40911830.0,2002.0,John Woo,Windtalkers 
120.0,37750.0,231.0,16000.0,6.1,115000000.0,,,Cedric Nicolas-Troyan,
101.0,167085.0,348.0,,5.9,125000000.0,190871240.0,2014.0,Jonathan Liebesman,Teenage Mutant Ninja Turtles 
91.0,582917.0,738.0,147000.0,7.8,,274084951.0,,Alfonso Cuarón,Gravity 
108.0,62271.0,93.0,0.0,5.8,116000000.0,67155742.0,1997.0,Roger Donaldson,Dante's Peak 
112.0,17533.0,181.0,12000.0,6.3,135000000.0,81638674.0,2016.0,Dave Green,Teenage Mutant Ninja Turtles: Out of the Shadows 
100.0,110486.0,369.0,,4.3,,56114221.0,2015.0,Josh Trank,Fantastic Four 
108.0,234480.0,179.0,3000.0,6.4,110000000.0,250863268.0,2006.0,,Night at the Museum 
114.0,147497.0,358.0,52000.0,6.1,110000000.0,155181732.0,2015.0,Brad Peyton,San Andreas 
119.0,149680.0,160.0,0.0,6.5,110000000.0,125332007.0,1997.0,Roger Spottiswoode,Tomorrow Never Dies 
142.0,207613.0,,4000.0,7.1,110000000.0,113330342.0,2000.0,Roland Emmerich,The Patriot 
125.0,,198.0,0.0,6.4,110000000.0,125531634.0,2004.0,Steven Soderbergh,Ocean's Twelve 
126.0,348861.0,,0.0,6.5,120000000.0,,2005.0,Doug Liman,
119.0,154621.0,,27000.0,6.3,110000000.0,129995817.0,2015.0,Robert Schwentke,
170.0,264318.0,267.0,0.0,,110000000.0,102608827.0,2004.0,Martin Scorsese,The Aviator 
85.0,53160.0,184.0,,4.9,112000000.0,42776259.0,,Rob Letterman,Gulliver's Travels 
119.0,136019.0,447.0,14000.0,5.8,120000000.0,98780042.0,2011.0,Michel Gondry,The Green Hornet 
60.0,25402.0,29.0,0.0,7.6,,,,,
102.0,225273.0,366.0,71000.0,,110000000.0,106369117.0,2014.0,Noam Murro,300: Rise of an Empire 
